,Unnamed: 0,P_gt,bin_P_gt,H_hru,Pressure_CAES,heat_caes,cold_caes,maximum_cold_caes,maximum_heat_caes,H_gb,H_ac,C_ac,H_hp,P_hp_H,P_hp_C,C_hp,bin_HP_H,bin_HP_C,Grid,CAES,P_hp,Wind Power,PV Power,Electricity,Heating,Cooling,Temperature,timestep,Day,caes_heat_cool
0,0,0.0,-0.0,0.0,57.0,304.0,0.0,0.0,304.0,1.1368683772161605e-13,0.0,0.0,63.7999999999999,21.26666666666663,0.0,0.0,1.0,0.0,1723.4666666666667,-800.0,21.26666666666663,0.0,0.0,902.2,367.8,0.0,8.3,0,1,1.0
1,1,0.0,0.0,0.0,60.58161153346394,0.0,0.0,0.0,0.0,-3.1974423109204513e-13,0.0,0.0,41.40000000000032,13.800000000000106,0.0,0.0,1.0,0.0,411.400000000001,-0.0,13.800000000000106,0.0,0.0,397.6,41.4,0.0,10.7,1,1,0.0
2,2,0.0,0.0,0.0,60.581611533464,148.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,808.8736842105263,-389.4736842105263,0.0,0.0,0.0,419.4,148.0,0.0,13.5,2,1,1.0
3,3,0.0,0.0,0.0,62.15785625486055,0.0,0.0,0.0,0.0,-2.7355895326763857e-13,0.0,0.0,12.200000000000273,4.066666666666757,0.0,0.0,1.0,0.0,395.6666666666672,-0.0,4.066666666666757,0.0,0.0,391.6,12.2,0.0,13.8,3,1,0.0
4,4,0.0,0.0,0.0,62.15785625486054,134.0,0.0,0.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1247.0,-800.0,0.0,0.0,0.0,447.0,134.0,0.0,13.6,4,1,0.4407894736842105
5,5,0.0,0.0,0.0,65.73946778832449,0.0,0.0,0.0,0.0,-1.8474111129762605e-13,0.0,0.0,40.80000000000018,13.60000000000006,0.0,0.0,1.0,0.0,430.8000000000004,-0.0,13.60000000000006,0.0,0.0,417.2,40.8,0.0,13.5,5,1,0.0
6,6,0.0,0.0,0.0,65.73946778832448,89.60000000000014,0.0,0.0,279.0228367710197,-1.2789769243681806e-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1238.8706230816306,-734.2706230816307,0.0,0.0,0.0,504.5999999999999,89.60000000000001,0.0,13.4,6,1,0.3211206689634886
7,7,696.2380952380952,1.0,835.4857142857142,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.3142857142858,104.43809523809526,0.0,0.0,1.0,0.0,-0.0,-0.0,104.43809523809526,0.0,0.0,591.8,1148.8,0.0,13.3,7,1,0.0
8,8,617.1428571428572,1.0,740.5714285714287,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.22857142857129,32.74285714285709,0.0,0.0,1.0,0.0,-0.0,-0.0,32.74285714285709,0.0,0.0,584.4,838.8,0.0,13.2,8,1,0.0
9,9,210.0,1.0,252.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,277.2,-0.0,0.0,0.0,0.0,487.2,252.0,0.0,13.2,9,1,0.0
