,dates,Day,month,Temperature,Wind Speed,Solar Radiation,PV power,WT_power,Heating,Electricity,Cooling,Hour
0,1900-01-01,1,1,8.3,1.5,0.0,0.0,0.0,367.8,902.2,0.0,0
1,1900-01-01,1,1,10.7,1.75,0.0,0.0,0.0,41.4,397.6,0.0,1
2,1900-01-01,1,1,13.5,1.8,0.0,0.0,0.0,148.0,419.4,0.0,2
3,1900-01-01,1,1,13.8,1.45,0.0,0.0,0.0,12.2,391.59999999999997,0.0,3
4,1900-01-01,1,1,13.6,1.45,0.0,0.0,0.0,134.0,446.99999999999994,0.0,4
5,1900-01-01,1,1,13.5,1.6,0.0,0.0,0.0,40.8,417.2,0.0,5
6,1900-01-01,1,1,13.4,1.75,0.0,0.0,0.0,89.60000000000001,504.5999999999999,0.0,6
7,1900-01-01,1,1,13.3,1.7,0.0,0.0,0.0,1148.8,591.8,0.0,7
8,1900-01-01,1,1,13.2,1.8,0.0,0.0,0.0,838.8,584.4,0.0,8
9,1900-01-01,1,1,13.2,2.0,0.0,0.0,0.0,252.0,487.2,0.0,9
10,1900-01-01,1,1,13.4,2.8,0.0,0.0,0.0,248.4,499.19999999999993,0.0,10
11,1900-01-01,1,1,13.7,3.35,0.0,0.0,0.0,353.40000000000003,466.4,0.0,11
12,1900-01-01,1,1,14.0,2.85,0.0,0.0,0.0,1388.0,660.0,0.0,12
13,1900-01-01,1,1,14.3,2.95,0.0,0.0,0.0,830.1999999999999,625.0,0.0,13
14,1900-01-01,1,1,14.6,3.6,0.0,0.0,0.0013026663952778377,450.20000000000005,600.8,0.0,14
15,1900-01-01,1,1,14.7,3.6,0.0,0.0,0.0013026663952778377,296.0,807.5999999999999,0.0,15
16,1900-01-01,1,1,14.7,3.9,0.0,0.0,0.08337064929778136,337.40000000000003,985.6,0.0,16
17,1900-01-01,1,1,14.5,4.05,0.0,0.0,0.21673112151434945,237.39999999999998,853.2,0.0,17
18,1900-01-01,1,1,14.1,3.75,0.0,0.0,0.02035416242621616,446.4,882.4000000000001,0.0,18
19,1900-01-01,1,1,13.7,3.5,0.0,0.0,0.0,650.0,884.6000000000001,0.0,19
20,1900-01-01,1,1,13.5,3.0,0.0,0.0,0.0,666.2,935.8,0.0,20
21,1900-01-01,1,1,13.3,3.1,0.0,0.0,0.0,326.8,989.5999999999999,0.0,21
22,1900-01-01,1,1,13.0,2.65,0.0,0.0,0.0,310.2,656.2,0.0,22
23,1900-01-01,1,1,12.8,1.85,0.0,0.0,0.0,549.4,595.2,0.0,23
24,1900-01-02,2,1,12.6,1.55,0.0,0.0,0.0,4.2,397.0,0.0,0
